"city","lon","lat","tz"
"Port Vila",168.3273245,-17.7332512,"Pacific/Efate"
"Harare",31.0492259,-17.8216288,"Africa/Harare"
"Gustavia",-62.852201,17.8964345,"America/St_Barthelemy"
"Vientiane",102.6331035,17.9757058,"Asia/Vientiane"
"Kingston",-73.9973608,41.9270367,"America/New_York"
"Philipsburg",-113.2944165,46.332506,"America/Denver"
"Marigot",-63.0824656,18.0675189,"America/Marigot"
"Nouakchott",-15.9582372,18.0735299,"Africa/Nouakchott"
"Suva",178.4232507,-18.1405049,"Pacific/Fiji"
"The Valley",-118.4396756,34.1825782,"America/Los_Angeles"
"Charlotte Amalie",-64.9307007,18.3419004,"America/St_Thomas"
"Road Town",-64.6184657,18.4286115,"America/Tortola"
"San Juan",-66.1057355,18.4655394,"America/Puerto_Rico"
"Santo Domingo",-69.9312117,18.4860575,"America/Santo_Domingo"
"Port-au-Prince",-72.3074326,18.594395,"America/Port-au-Prince"
"Antananarivo",47.5079055,-18.8791902,"Indian/Antananarivo"
"Alofi",-169.9178709,-19.0553711,"Pacific/Niue"
"George Town",-81.3674389,19.2869323,"America/Cayman"
"Mexico City",-99.133208,19.4326077,"America/Mexico_City"
"Naypyidaw",96.0785104,19.7633057,"Asia/Yangon"
"Port Louis",57.5012222,-20.1608912,"Indian/Mauritius"
"Hanoi",105.8341598,21.0277644,"Asia/Bangkok"
"Nuku?alofa",-175.204947,-21.1393418,"Pacific/Tongatapu"
"Avarua",-159.7823059,-21.2129007,"Pacific/Rarotonga"
"Wan Chai",114.1751471,22.276022,"Asia/Hong_Kong"
"Nouméa",166.4480887,-22.2734912,"Pacific/Noumea"
"Windhoek",17.0657549,-22.5608807,"Africa/Windhoek"
"Havana",-82.3665956,23.1135925,"America/Havana"
"Muscat",58.3828717,23.5880307,"Asia/Muscat"
"Dhaka",90.4125181,23.810332,"Asia/Dhaka"
"Abu Dhabi",54.3773438,24.453884,"Asia/Dubai"
"Riyadh",46.6752957,24.7135517,"Asia/Riyadh"
"Gaborone",25.9231471,-24.6282079,"Africa/Gaborone"
"Taipei",121.5654268,25.0329636,"Asia/Taipei"
"Adamstown",-130.1004636,-25.0662897,"Pacific/Pitcairn"
"Nassau",-77.3503609,25.0443312,"America/Nassau"
"Asunción",-57.575926,-25.2637399,"America/Asuncion"
"Doha",51.5310398,25.2854473,"Asia/Qatar"
"Pretoria",28.2292712,-25.7478676,"Africa/Johannesburg"
"Maputo",32.5731746,-25.969248,"Africa/Maputo"
"Manama",50.5875935,26.2235305,"Asia/Bahrain"
"Mbabane",31.1366715,-26.3054482,"Africa/Mbabane"
"Lobamba",31.1824925,-26.400429,"Africa/Mbabane"
"El Aaiún",-13.1990758,27.1500384,"Africa/El_Aaiun"
"Hanga Roa",-109.4333,-27.15,"Pacific/Easter"
"Thimphu",89.6339041,27.4712216,"Asia/Thimphu"
"Kathmandu",85.3239605,27.7172453,"Asia/Kathmandu"
"New Delhi",77.2090212,28.6139391,"Asia/Kolkata"
"Kingston",-73.9973608,41.9270367,"America/New_York"
"Bloemfontein",26.1595761,-29.085214,"Africa/Johannesburg"
"Maseru",27.4869229,-29.3150767,"Africa/Maseru"
"Kuwait City",47.9774052,29.375859,"Asia/Kuwait"
"Cairo",31.2357116,30.0444196,"Africa/Cairo"
"Jerusalem",35.21371,31.768319,"Asia/Jerusalem"
"Amman",35.910635,31.9539494,"Asia/Amman"
"Hamilton",-95.7175467,37.1929578,"America/Chicago"
"Tripoli",13.1913383,32.8872094,"Africa/Tripoli"
"Baghdad",44.3660671,33.315241,"Asia/Baghdad"
"Santiago",-70.6692655,-33.4488897,"America/Santiago"
"Valparaíso",-71.6126885,-33.047238,"America/Santiago"
"Damascus",36.2765279,33.5138073,"Asia/Damascus"
"Islamabad",73.0478848,33.6844202,"Asia/Karachi"
"Beirut",35.5017767,33.8937913,"Asia/Beirut"
"Cape Town",18.4240553,-33.9248685,"Africa/Johannesburg"
"Rabat",-6.8498129,33.9715904,"Africa/Casablanca"
"Kabul",69.207486,34.5553494,"Asia/Kabul"
"Buenos Aires",-58.3815591,-34.6036844,"America/Argentina/Buenos_Aires"
"Episkopi Cantonment",32.83876,34.6768911,"Asia/Nicosia"
"Montevideo",-56.1645314,-34.9011127,"America/Montevideo"
"Nicosia",33.3822764,35.1855659,"Asia/Nicosia"
"Nicosia",33.3822764,35.1855659,"Asia/Nicosia"
"Canberra",149.1300092,-35.2809368,"Australia/Sydney"
"Tehran",51.3889736,35.6891975,"Asia/Tehran"
"Tokyo",139.6503106,35.6761919,"Asia/Tokyo"
"Valletta",14.5145528,35.8989085,"Europe/Malta"
"Gibraltar",-5.353585,36.140751,"Europe/Gibraltar"
"Algiers",3.0587561,36.753768,"Africa/Algiers"
"Tunis",10.1815316,36.8064948,"Africa/Tunis"
"Edinburgh of the Seven Seas",-12.3113147,-37.0680421,"Atlantic/St_Helena"
"Seoul",126.9779692,37.566535,"Asia/Seoul"
"Ashgabat",58.3260629,37.9600766,"Asia/Ashgabat"
"Athens",23.7275388,37.9838096,"Europe/Athens"
"Dushanbe",68.7870384,38.5597722,"Asia/Dushanbe"
"Lisbon",-9.1393366,38.7222524,"Europe/Lisbon"
"Washington, D.C.",-77.0368707,38.9071923,"America/New_York"
"Pyongyang",125.7625241,39.0392193,"Asia/Pyongyang"
"Stepanakert",46.7655746,39.8265279,"Asia/Baku"
"Ankara",32.8597419,39.9333635,"Europe/Istanbul"
"Beijing",116.4073963,39.9041999,"Asia/Shanghai"
"Yerevan",44.515209,40.1872023,"Asia/Yerevan"
"Baku",49.8670924,40.4092617,"Asia/Baku"
"Madrid",-3.7037902,40.4167754,"Europe/Madrid"
"Tashkent",69.2400734,41.2994958,"Asia/Tashkent"
"Wellington",174.7787463,-41.2923814,"Pacific/Auckland"
"Tirana",19.8186982,41.3275459,"Europe/Tirane"
"Tbilisi",44.827096,41.7151377,"Asia/Tbilisi"
